simulation_id,weight_opportunity,weight_infrastructure,weight_competitive_headroom,weight_data_confidence,minimum_opportunity,minimum_infrastructure,objective_value,portfolio_iso3
101,0.37637580125660036,0.2900586786414778,0.22269788738605678,0.11086763271586521,301.24320195698357,235.58355034784034,381.59027880166894,BRA|CHN|IND|MEX|USA
102,0.349400335559758,0.2956157061088749,0.20507820537883686,0.14990575295253028,311.22001816590233,244.31125001861554,380.74306312132916,BRA|CHN|IND|MEX|USA
103,0.36682516548893557,0.3114984872876239,0.20751238736783256,0.11416395985560804,275.4740224046371,273.5511512817354,381.33918955788795,BRA|CHN|IND|MEX|USA
104,0.3307726904645871,0.30246161920210146,0.21860017471302204,0.1481655156202895,287.1593499944181,273.27874999164055,378.1032443939064,BRA|CHN|IND|MEX|USA
105,0.33405094035070876,0.23533077707365962,0.2537362617064764,0.1768820208691551,309.06801477170944,234.0714920556146,377.85206819286407,BRA|CHN|IND|MEX|USA
106,0.2852758729188289,0.3074962335266957,0.16001231969171134,0.2472155738627641,311.3090909880691,230.9159573963191,379.0146727767159,BRA|CHN|IND|MEX|USA
107,0.34296485982336394,0.25756227466432713,0.2412997208320039,0.15817314468030502,323.63911144059637,269.910184623189,378.7409349057218,BRA|CHN|IND|MEX|USA
108,0.3366984213201004,0.33387239296965876,0.1801421426716143,0.14928704303862664,322.59876645237995,260.6236224130886,380.45364122832837,BRA|CHN|IND|MEX|USA
109,0.2679267796051398,0.20383648044778752,0.3801453880245821,0.14809135192249054,313.609315517233,229.26732702628263,368.38731514573624,BRA|CHN|IND|RUS|USA
110,0.25562964292510054,0.47505313418943257,0.1674375005463951,0.10187972233907178,288.0460476644964,270.2473750299088,370.7964969601954,BRA|CHN|IND|MEX|USA
111,0.3284395442700443,0.2901042045396573,0.2708895328954215,0.11056671829487692,320.56267406310076,236.15319710571313,374.34758019361584,BRA|CHN|IND|MEX|USA
112,0.3533365745900866,0.35254395322726034,0.2063082087043702,0.0878112634782827,273.19182007566593,241.39787236969482,379.0926419210084,BRA|CHN|IND|MEX|USA
113,0.22327531512599852,0.16416456918138736,0.38619811247872243,0.22636200321389166,305.0595585815009,270.72206012887114,366.86866919968463,BRA|CHN|IND|RUS|USA
114,0.33088286863094435,0.21309149332826757,0.29738514155807694,0.15864049648271122,293.920105373417,254.7015742580354,375.1233691300455,BRA|CHN|IND|RUS|USA
115,0.43224004617843037,0.1823397281115965,0.25720570222647343,0.1282145234834997,313.8670181522681,255.24522432214076,386.62206499770247,BRA|CHN|IND|MEX|USA
116,0.31413148100842353,0.32840049552170997,0.18190213019919405,0.17556589327067224,308.5641168843577,272.1596625801854,378.8167558446171,BRA|CHN|IND|MEX|USA
117,0.3251841242896544,0.2794149112061226,0.2860481210713015,0.10935284343292163,290.44767028118537,257.17432569548396,373.2976881376555,BRA|CHN|IND|MEX|USA
118,0.3067753004372513,0.24861374995231014,0.27586738604003497,0.16874356357040368,292.214983730631,263.8356491937037,373.703188330214,BRA|CHN|IND|MEX|USA
119,0.34081651092179804,0.26285012440593736,0.2380138973605683,0.15831946731169633,296.3411099989316,227.16230053495795,378.65943317959017,BRA|CHN|IND|MEX|USA
120,0.29559992283584613,0.284544273414327,0.2767926492929686,0.14306315445685844,327.9163488386663,227.2891738403343,371.63289608121806,BRA|CHN|IND|MEX|USA
121,0.35617536857117127,0.32260909649955277,0.19748317601891252,0.12373235891036356,313.7710060573652,235.06947828840364,380.94907464420345,BRA|CHN|IND|MEX|USA
122,0.30477824444121865,0.3004028990826665,0.27108506323068904,0.12373379324542574,320.4462903223722,240.2984158178783,372.235918424808,BRA|CHN|IND|MEX|USA
123,0.3783964765896672,0.2813794750317197,0.2289343187901171,0.11128972958849596,312.7330164202375,252.93836460714746,381.54769258179164,BRA|CHN|IND|MEX|USA
124,0.20955780422760267,0.3539101881719714,0.32680439338260414,0.10972761421782175,306.8873301714052,253.27251461173543,359.1611676922319,BRA|CHN|IND|MEX|USA
125,0.3050516817217827,0.3036316258480386,0.259937108998844,0.1313795834313346,317.53978603588524,243.79221809237055,373.00062868714645,BRA|CHN|IND|MEX|USA
126,0.37173979185892114,0.20288779387564684,0.24867245950626743,0.1766999547591646,301.10543019311797,243.9965026653436,382.098835137106,BRA|CHN|IND|MEX|USA
127,0.3872787316434338,0.2596076524869692,0.21989846849005548,0.13321514737954135,283.0080663529607,266.97418819479486,383.60500242312713,BRA|CHN|IND|MEX|USA
128,0.23580002904977346,0.31624124061931763,0.3389295893786416,0.10902914095226734,292.2303841123696,235.50921478175604,362.0322441341444,BRA|CHN|IND|RUS|USA
129,0.3320941774531672,0.33516301757735545,0.14917095921971774,0.1835718457497596,296.97693812029615,264.76830288644504,382.42823097575877,BRA|CHN|IND|MEX|USA
130,0.3977579947624566,0.2571748993219322,0.23484459743421351,0.11022250848139765,308.4379589787442,230.4796094178099,383.32585803934876,BRA|CHN|IND|MEX|USA
