iso3,relevant_studies,active_trials,recent_trials,location_rows,geocoded_rows,unique_facilities,repeat_facilities,sponsor_diversity,active_sponsor_count,country_name,region,population_2023,year,obesity_prevalence_pct,obese_population_proxy,active_trials_per_10m_proxy,location_completeness,indicator_recency,evidence_depth,screen_pass,screen_exclusion_reason
ITA,14,12,12,146,144,120,22,4,4,Italy,Europe & Central Asia,58984216.0,2022.0,14.357004,8468366.25048864,14.170383808456062,0.9863013698630136,0.2,0.6395800857068414,True,PASSED
JPN,29,20,25,383,247,285,56,5,5,Japan,East Asia & Pacific,124516650.0,2022.0,5.4727148,6814441.133014201,29.349435426340666,0.6449086161879896,0.2,0.8032857411520571,True,PASSED
KOR,12,8,10,88,80,71,11,4,4,"Korea, Rep.",East Asia & Pacific,51712619.0,2022.0,7.3913254,3822247.943152226,20.930091712999555,0.9090909090909091,0.2,0.6057829094937964,True,PASSED
LVA,1,0,0,8,8,8,0,1,0,Latvia,Europe & Central Asia,1883710.0,2022.0,22.225817,418669.9374107,0.0,1.0,0.2,0.16370565544521562,False,INSUFFICIENT_STUDY_EVIDENCE
MEX,17,10,13,222,219,149,54,5,4,Mexico,Latin America & Caribbean,129739759.0,2022.0,36.054844,46777467.713425964,2.13778139108839,0.9864864864864865,0.2,0.6826403055185054,True,PASSED
MYS,3,1,2,29,25,22,7,1,1,Malaysia,East Asia & Pacific,35126298.0,2022.0,22.010197,7731367.388607061,1.2934322607325575,0.8620689655172413,0.2,0.32741131089043124,True,PASSED
NGA,1,1,1,2,2,2,0,1,1,Nigeria,Sub-Saharan Africa,227882945.0,2022.0,12.660767,28851728.69918815,0.34659968226726695,1.0,0.2,0.16370565544521562,False,INSUFFICIENT_STUDY_EVIDENCE
NLD,12,8,9,118,118,83,24,4,3,Netherlands,Europe & Central Asia,17877117.0,2022.0,14.481732,2588916.1732664397,30.900961887485092,1.0,0.2,0.6057829094937964,True,PASSED
NOR,4,1,3,18,16,14,4,1,1,Norway,Europe & Central Asia,5519601.0,2022.0,19.536772,1078351.86267972,9.273410976589641,0.8888888888888888,0.2,0.38011276067019645,True,PASSED
NZL,3,3,3,21,20,19,2,2,2,New Zealand,East Asia & Pacific,5200000.0,2022.0,33.289009,1731028.468,17.33073750928052,0.9523809523809523,0.2,0.32741131089043124,True,PASSED
POL,34,25,32,387,385,284,68,6,6,Poland,Europe & Central Asia,36687353.0,2022.0,21.759084,7982831.956646521,31.31720689571193,0.9948320413436692,0.2,0.8396926382529888,True,PASSED
PRI,25,17,22,52,52,29,11,5,5,Puerto Rico (US),Latin America & Caribbean,3203794.0,2022.0,41.121516,1317448.66231704,129.03728612924886,1.0,0.2,0.7694885649390122,True,PASSED
PRT,7,3,5,48,44,46,2,2,2,Portugal,Europe & Central Asia,10578174.0,2022.0,18.28673,1934402.1183102,15.508667880392183,0.9166666666666666,0.2,0.49111696633564683,True,PASSED
ROU,11,8,10,155,153,118,29,4,4,Romania,Europe & Central Asia,19061062.0,2022.0,30.684757,5848840.55631934,13.677924578327673,0.9870967741935484,0.2,0.5868786359270762,True,PASSED
RUS,5,0,2,84,83,78,5,2,0,Russian Federation,Europe & Central Asia,143826130.0,2022.0,18.134482,26082123.656146597,0.0,0.9880952380952381,0.2,0.42317298048186053,True,PASSED
SAU,2,1,2,10,8,10,0,2,1,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",33702731.0,2022.0,39.549473,13329252.49710763,0.750229617314995,0.8,0.2,0.25946732503664494,True,PASSED
SGP,2,1,1,7,7,6,1,2,1,Singapore,East Asia & Pacific,5917648.0,2022.0,15.206718,899880.04359264,11.112592251825541,1.0,0.2,0.25946732503664494,True,PASSED
SRB,2,1,1,10,10,8,2,1,1,Serbia,Europe & Central Asia,6623183.0,2022.0,21.160403,1401492.21422749,7.135251911129634,1.0,0.2,0.25946732503664494,True,PASSED
SVK,11,8,11,100,99,83,15,4,4,Slovak Republic,Europe & Central Asia,5426740.0,2022.0,25.13428,1363972.026472,58.65222925936764,0.99,0.2,0.5868786359270762,True,PASSED
SWE,4,1,2,20,20,20,0,2,1,Sweden,Europe & Central Asia,10536632.0,2022.0,16.977419,1788848.16312808,5.59018937779126,1.0,0.2,0.38011276067019645,True,PASSED
THA,4,1,3,28,28,23,5,1,1,Thailand,East Asia & Pacific,71702435.0,2022.0,14.906758,10688508.4655573,0.9355842334993743,1.0,0.2,0.38011276067019645,True,PASSED
TUR,12,11,11,153,123,126,26,4,4,Turkiye,Europe & Central Asia,85325965.0,2022.0,29.095364,24825900.1032626,4.430856466128448,0.803921568627451,0.2,0.6057829094937964,True,PASSED
TWN,16,9,13,80,75,53,16,4,4,,,,,,,,0.9375,,0.6691407835348502,False,MISSING_POPULATION
UKR,3,1,1,37,37,37,0,2,1,Ukraine,Europe & Central Asia,37732836.0,2022.0,22.80121,8603543.1753156,1.1623118285372205,1.0,0.2,0.32741131089043124,True,PASSED
USA,68,46,61,2741,2741,1659,470,11,10,United States,North America,336755052.0,2022.0,40.434778,136166157.67998457,3.378225601996381,1.0,0.2,1.0,True,PASSED
ZAF,8,3,6,90,87,71,15,2,2,South Africa,Sub-Saharan Africa,63212384.0,2022.0,31.133828,19680434.90925952,1.5243565570741116,0.9666666666666667,0.2,0.5189346500732899,True,PASSED
