iso3,relevant_studies,active_trials,recent_trials,location_rows,geocoded_rows,unique_facilities,repeat_facilities,sponsor_diversity,active_sponsor_count,country_name,region,population_2023,year,obesity_prevalence_pct,obese_population_proxy,active_trials_per_10m_proxy,location_completeness,indicator_recency,evidence_depth,screen_pass,screen_exclusion_reason,opportunity_score,infrastructure_score,competitive_headroom_score,data_confidence_score,attractiveness_score,rank
ARG,27,21,24,353,271,231,64,5,5,Argentina,Latin America & Caribbean,45538401.0,2022.0,35.26631,16059713.6657031,13.076198266751982,0.7677053824362606,0.2,0.7869911884732236,True,PASSED,58.08554153912813,64.59164191994881,42.86750869213279,66.09143380619456,57.43374728168546,11
CAN,36,22,32,372,364,246,71,6,5,Canada,North America,40049088.0,2022.0,25.79084,10328996.207539199,21.29926234646312,0.978494623655914,0.2,0.8528169777315717,True,PASSED,49.43114324236924,67.94327153579655,36.86300224707792,77.88085228512114,56.11020283798739,12
POL,34,25,32,387,385,284,68,6,6,Poland,Europe & Central Asia,36687353.0,2022.0,21.759084,7982831.956646521,31.31720689571193,0.9948320413436692,0.2,0.8396926382529888,True,PASSED,44.37877188511276,68.59347910408236,30.074419353589683,78.15668419931971,53.133782765053915,13
ESP,35,23,29,313,312,194,75,9,6,Spain,Europe & Central Asia,48352528.0,2022.0,16.103056,7786234.661255679,29.539310078140918,0.9968051118210862,0.2,0.8463459609637211,True,PASSED,43.889816602115175,67.53039402941843,30.81293058498448,78.47833866567913,52.901046635558075,14
FRA,18,12,15,146,146,102,33,4,3,France,Europe & Central Asia,68372286.0,2022.0,11.491171,7856776.30086906,15.273439818660291,1.0,0.2,0.6954097578720472,True,PASSED,44.0666658563552,52.04395717156957,46.09284696832775,73.33934152552165,51.357299879287616,15
THA,4,1,3,28,28,23,5,1,1,Thailand,East Asia & Pacific,71702435.0,2022.0,14.906758,10688508.4655573,0.9355842334993743,1.0,0.2,0.38011276067019645,True,PASSED,50.102031229792544,20.675112154089348,82.6307767072407,62.30394662345689,51.23642918549327,16
AUS,24,19,23,202,201,132,55,5,5,Australia,East Asia & Pacific,26659922.0,2022.0,29.7975,7943990.2579499995,23.917451284618114,0.995049504950495,0.2,0.7602255213403929,True,PASSED,44.283130681375006,58.68505490200646,35.41411048211269,75.38512096968604,51.05175144099551,17
ITA,14,12,12,146,144,120,22,4,4,Italy,Europe & Central Asia,58984216.0,2022.0,14.357004,8468366.25048864,14.170383808456062,0.9863013698630136,0.2,0.6395800857068414,True,PASSED,45.536545404353966,50.2738268620053,44.192039398007076,70.76886464357507,50.4064512259458,18
JPN,29,20,25,383,247,285,56,5,5,Japan,East Asia & Pacific,124516650.0,2022.0,5.4727148,6814441.133014201,29.349435426340666,0.6449086161879896,0.2,0.8032857411520571,True,PASSED,41.275737834363184,66.22014624603236,32.840262767182914,61.135888668781526,49.62921421623161,19
COL,3,1,2,17,15,17,0,2,1,Colombia,Latin America & Caribbean,52321152.0,2022.0,23.770167,12436825.20672384,0.8040637247674434,0.8823529411764706,0.2,0.32741131089043124,True,PASSED,53.07258004705857,11.2976177134649,83.54916622329407,55.165278234106275,48.47314261909649,20
