iso3,country_name,region,population_2023
DEU,Germany,Europe & Central Asia,83287273
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",1152944
DMA,Dominica,Latin America & Caribbean,66510
DNK,Denmark,Europe & Central Asia,5946952
DOM,Dominican Republic,Latin America & Caribbean,11331265
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",46164219
ECU,Ecuador,Latin America & Caribbean,17980083
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",114535772
ERI,Eritrea,Sub-Saharan Africa,3470390
ESP,Spain,Europe & Central Asia,48352528
EST,Estonia,Europe & Central Asia,1370286
ETH,Ethiopia,Sub-Saharan Africa,128691692
FIN,Finland,Europe & Central Asia,5583911
FJI,Fiji,East Asia & Pacific,924145
FRA,France,Europe & Central Asia,68372286
FRO,Faroe Islands,Europe & Central Asia,54398
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,112630
GAB,Gabon,Sub-Saharan Africa,2484789
GBR,United Kingdom,Europe & Central Asia,68526000
GEO,Georgia,Europe & Central Asia,3715483
GHA,Ghana,Sub-Saharan Africa,33787914
GIB,Gibraltar,Europe & Central Asia,38471
GIN,Guinea,Sub-Saharan Africa,14405468
GMB,"Gambia, The",Sub-Saharan Africa,2697845
GNB,Guinea-Bissau,Sub-Saharan Africa,2153339
GNQ,Equatorial Guinea,Sub-Saharan Africa,1847549
GRC,Greece,Europe & Central Asia,10407351
GRD,Grenada,Latin America & Caribbean,117081
GRL,Greenland,Europe & Central Asia,56865
GTM,Guatemala,Latin America & Caribbean,18124838
GUM,Guam,East Asia & Pacific,166506
GUY,Guyana,Latin America & Caribbean,826353
HKG,"Hong Kong SAR, China",East Asia & Pacific,7536100
HND,Honduras,Latin America & Caribbean,10644851
HRV,Croatia,Europe & Central Asia,3859686
HTI,Haiti,Latin America & Caribbean,11637398
HUN,Hungary,Europe & Central Asia,9592186
IDN,Indonesia,East Asia & Pacific,281190067
IMN,Isle of Man,Europe & Central Asia,84165
IND,India,South Asia,1438069596
IRL,Ireland,Europe & Central Asia,5311538
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",90608707
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",45074049
ISL,Iceland,Europe & Central Asia,385663
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",9849000
ITA,Italy,Europe & Central Asia,58984216
JAM,Jamaica,Latin America & Caribbean,2839786
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",11439213
JPN,Japan,East Asia & Pacific,124516650
KAZ,Kazakhstan,Europe & Central Asia,20330104
KEN,Kenya,Sub-Saharan Africa,55339003
KGZ,Kyrgyz Republic,Europe & Central Asia,7099750
KHM,Cambodia,East Asia & Pacific,17423880
KIR,Kiribati,East Asia & Pacific,132530
KNA,St. Kitts and Nevis,Latin America & Caribbean,46758
KOR,"Korea, Rep.",East Asia & Pacific,51712619
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",4853420
LAO,Lao PDR,East Asia & Pacific,7664993
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",5773493
LBR,Liberia,Sub-Saharan Africa,5493031
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",7305659
LCA,St. Lucia,Latin America & Caribbean,179285
LIE,Liechtenstein,Europe & Central Asia,39846
LKA,Sri Lanka,South Asia,22037000
LSO,Lesotho,Sub-Saharan Africa,2311472
LTU,Lithuania,Europe & Central Asia,2871585
LUX,Luxembourg,Europe & Central Asia,666430
LVA,Latvia,Europe & Central Asia,1883710
MAC,"Macao SAR, China",East Asia & Pacific,678800
MAF,St. Martin (French part),Latin America & Caribbean,27515
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",37712505
MCO,Monaco,Europe & Central Asia,38956
MDA,Moldova,Europe & Central Asia,2457783
MDG,Madagascar,Sub-Saharan Africa,31195932
MDV,Maldives,South Asia,525994
MEX,Mexico,Latin America & Caribbean,129739759
MHL,Marshall Islands,East Asia & Pacific,38827
MKD,North Macedonia,Europe & Central Asia,1827816
MLI,Mali,Sub-Saharan Africa,23769127
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",552747
MMR,Myanmar,East Asia & Pacific,54133798
MNE,Montenegro,Europe & Central Asia,623529
MNG,Mongolia,East Asia & Pacific,3481145
MNP,Northern Mariana Islands,East Asia & Pacific,45143
MOZ,Mozambique,Sub-Saharan Africa,33635160
