nct_id,condition_name
NCT01068197,Obesity
NCT01068197,Type 2 Diabetes Mellitus
NCT00481923,Obesity
NCT02122029,Morbid Obesity
NCT04283578,Prader-Willi Syndrome
NCT00479609,Metabolic Syndrome
NCT06363747,Type 2 Diabetes
NCT06363747,Obesity
NCT03585413,Obesity
NCT03585413,Gastric Bypass
NCT03585413,NAFLD
NCT00138710,Hypogonadotrophic Hypogonadism
NCT00138710,Obesity
NCT00231621,Obesity
NCT00231621,Hyperlipidemia
NCT00231621,Hypertriglyceridemia
NCT04889183,Obesity
NCT04889183,Albuminuria
NCT02978105,Obesity
NCT05024032,Obesity
NCT05024032,Overweight
NCT05024032,Metabolism and Nutrition Disorder
NCT00195858,Obesity
NCT05996848,Obesity or Overweight
NCT06858878,"Type 2 Diabetes Mellitus (T2DM), Obesity, Overweight"
NCT01659450,Body Weight Decreased
NCT06588296,Psoriatic Arthritis
NCT06588296,Obesity
NCT07339423,Obesity
NCT00392717,Obesity
NCT00392717,Dyslipidemia
NCT00392717,Insulin Resistance
NCT00563368,Obesity
NCT03063606,Binge-Eating Disorder
NCT03063606,Obesity
NCT06619015,Obesity
NCT06619015,Appetite Regulation
NCT06619015,PreDiabetes
NCT01040468,Type 2 Diabetes
NCT02108691,Obesity
NCT00108589,Hepatitis
NCT01764386,Obesity
NCT01764386,Overweight
NCT05931380,Obesity
NCT01792362,Infertility
NCT04605861,Obese
NCT04605861,Overweight
NCT07622290,Obesity-associated Asthma
NCT04741074,CKD
NCT04741074,Diabetic Kidney Disease
NCT04741074,Type 2 Diabetes Mellitus in Obese
NCT04741074,Obesity
NCT04741074,Severe Obesity
NCT06962280,Type 1 Diabetes
NCT06962280,Obesity
NCT06962280,Overweight
NCT00783445,Metabolic Syndrome
NCT07036172,Obesity Control
NCT05405244,Overweight and Obesity
NCT05405244,Eating Behavior
NCT02654665,Non-alcoholic Fatty Liver Disease (NAFLD)
NCT02654665,Weight Loss
NCT02654665,Non-alcoholic Steatohepatitis (NASH)
NCT06423599,Heart Failure With Reduced Ejection Fraction
NCT06423599,Obesity
NCT06423599,Weight Loss
NCT06423599,Chronic Heart Failure
NCT06383390,Atherosclerotic Cardiovascular Disease (ASCVD)
NCT06383390,Chronic Kidney Disease (CKD)
NCT04086810,Prader-Willi Syndrome
NCT04788511,Obesity
NCT02204163,Prader-Willi Syndrome
NCT06884293,Overweight
NCT06884293,Metabolic Dysfunction-associated Fatty Liver Disease (MAFLD)
NCT00029848,Obesity
NCT00029848,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT00029848,Obesity in Diabetes
NCT00645255,Obesity
NCT00645255,Weight Loss
NCT01868347,Obese Patients With Prostate Cancer Disease
NCT07253285,Overweight
NCT07253285,Obesity
NCT00603109,Prader-willi Syndrome
NCT00871416,Diabetes
NCT00871416,"Diabetes Mellitus, Type 1"
NCT00871416,"Diabetes Mellitus, Type 2"
NCT00871416,Delivery Systems
NCT01724099,Obesity
NCT02338193,Diabetes Prevention in Women After GDM Who Are at High-risk
NCT05412004,Obstructive Sleep Apnea
NCT05412004,Obesity
NCT06149793,Cystic Fibrosis-related Diabetes
NCT06149793,Cystic Fibrosis
NCT02880540,Obesity
NCT00677391,Obesity
NCT00221442,Binge Eating Disorder Associated With Obesity
NCT06379113,Endometrial Neoplasms
NCT06379113,Atypical Endometrial Hyperplasia
NCT06379113,Progesterone Resistance
NCT06379113,Obesity
NCT00391196,Obesity
NCT00554216,Obesity
NCT05040971,Obesity
NCT07369011,"Sleep Apnea, Obstructive"
NCT07369011,Obesity
NCT07369011,Overweight
NCT03850314,Metabolic Syndrome
NCT03850314,Dyslipidemias
NCT03850314,Diabetes Mellitus
NCT03850314,Obesity
NCT03850314,Atherosclerosis
NCT06893016,Obesity
NCT04885634,Atrial Fibrillation
NCT04885634,Overweight and Obesity
NCT00067145,Obesity
NCT03435458,Maternal Obesity
NCT02768818,"Gestational Diabetes Mellitus in Pregnancy, Diet- Controlled"
NCT02768818,Exercise Addiction
NCT02768818,High-Risk Pregnancy
NCT02768818,Dietary Modification
NCT00944138,Obesity
NCT03290846,Obesity
NCT01758146,Breast Cancer
NCT05132088,Overweight and Obesity
NCT04683237,Atypical Endometrial Hyperplasia
NCT04683237,Obese
NCT04683237,Fertility Issues
NCT02397499,Central Abdominal Bulging
NCT01060592,Obesity
NCT00231530,Obesity
NCT00231530,"Diabetes Mellitus, Type 2"
NCT00231530,"Diabetes Mellitus, Adult-Onset"
NCT00444392,Obese Patients
NCT00444392,Type 2 Diabetes Mellitus
NCT05309395,"Diet, Healthy"
NCT05309395,Overweight and Obesity
NCT04645719,Obese
NCT04645719,Analgesia
NCT01108328,"Appetite and Hunger, Suppression"
NCT01108328,"Blood Glucose, Postprandial"
NCT03045341,Binge-eating Disorder
NCT03045341,Obesity
NCT00552942,Diabetes
NCT00552942,Interleukins
NCT00552942,Cytokines
NCT00808431,Diabetes
NCT00808431,Obesity
NCT02626741,Abdominal Obesity-Metabolic Syndrome
NCT01557166,Metabolism and Nutrition Disorder
NCT01557166,Obesity
NCT01557166,Obstructive Sleep Apnoea
NCT05646706,Obesity
NCT01598233,Overweight
NCT01598233,Obesity
NCT01598233,Metabolic Syndrome
NCT07387094,OSA - Obstructive Sleep Apnea
NCT07387094,Obesity
NCT00580502,Obesity
NCT01681069,Obesity
NCT01681069,Overweight
NCT01886495,Body Mass Index Quantitative Trait Locus 5 Disorder
NCT01886495,Tangier Disease
