nct_id,sponsor_role,sponsor_name,sponsor_class
NCT01559194,LEAD,Ohio State University Comprehensive Cancer Center,OTHER
NCT01559194,COLLABORATOR,Breast Cancer Research Foundation,OTHER
NCT00389246,LEAD,Philipps University Marburg,OTHER
NCT05567796,LEAD,Novo Nordisk A/S,INDUSTRY
NCT01546727,LEAD,"Children's Hospital Medical Center, Cincinnati",OTHER
NCT01546727,COLLABORATOR,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT07104383,LEAD,"Viking Therapeutics, Inc.",INDUSTRY
NCT03116009,LEAD,University of Illinois at Chicago,OTHER
NCT03946111,LEAD,Yale University,OTHER
NCT03946111,COLLABORATOR,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT04657003,LEAD,Eli Lilly and Company,INDUSTRY
NCT00325546,LEAD,Sanofi,INDUSTRY
NCT01499485,LEAD,Hospital Son Llatzer,OTHER
NCT03153813,LEAD,Nadine ATTAL,OTHER
NCT06937060,LEAD,The University of Hong Kong,OTHER
NCT02373007,LEAD,Instituto Paulo Reis,OTHER
NCT01707732,LEAD,"University Hospital, Rouen",OTHER
NCT06972472,LEAD,Eli Lilly and Company,INDUSTRY
NCT03109834,LEAD,"Bonn Education Association for Dietetics r.A., Cologne, Germany",INDUSTRY
NCT03109834,COLLABORATOR,FomMed HealthCare AG,UNKNOWN
NCT07595549,LEAD,Pfizer,INDUSTRY
NCT04487743,LEAD,Xiangya Hospital of Central South University,OTHER
NCT07311850,LEAD,Pfizer,INDUSTRY
NCT05997576,LEAD,"CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",INDUSTRY
NCT01211574,LEAD,The Miriam Hospital,OTHER
NCT01003639,LEAD,St. Luke's-Roosevelt Hospital Center,OTHER
NCT01003639,COLLABORATOR,National Eye Institute (NEI),NIH
NCT01003639,COLLABORATOR,University of Rochester,OTHER
NCT01003639,COLLABORATOR,University of Iowa,OTHER
NCT01003639,COLLABORATOR,"University of California, Davis",OTHER
NCT04325581,LEAD,"Post Graduate Institute of Medical Education and Research, Chandigarh",OTHER
NCT00969267,LEAD,Taipei City Hospital,OTHER_GOV
NCT00969267,COLLABORATOR,National Yang Ming Chiao Tung University,OTHER
NCT06229795,LEAD,Ain Shams University,OTHER
NCT03790865,LEAD,Millendo Therapeutics SAS,INDUSTRY
NCT00384605,LEAD,Merck Sharp & Dohme LLC,INDUSTRY
NCT07670416,LEAD,Hoffmann-La Roche,INDUSTRY
NCT00483171,LEAD,Pfizer,INDUSTRY
NCT07564414,LEAD,Novo Nordisk A/S,INDUSTRY
NCT00092872,LEAD,Merck Sharp & Dohme LLC,INDUSTRY
NCT07509307,LEAD,Novo Nordisk A/S,INDUSTRY
NCT01444651,LEAD,"Thomas J. Wang, MD",OTHER
NCT00131430,LEAD,Merck Sharp & Dohme LLC,INDUSTRY
NCT00546325,LEAD,Sanofi,INDUSTRY
NCT03720574,LEAD,"Kanion & Huawe Medicine Co.,Ltd",INDUSTRY
NCT02918279,LEAD,Novo Nordisk A/S,INDUSTRY
NCT01068197,LEAD,Nazrat Mirza,OTHER
NCT01068197,COLLABORATOR,National Center for Research Resources (NCRR),NIH
NCT01068197,COLLABORATOR,Consumer Health Foundation,UNKNOWN
NCT01068197,COLLABORATOR,Jessie Ball DuPont Foundation,UNKNOWN
